scenario,timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
high,1.0,J1,2,0,13.9,0.0,LOW
high,1.0,J2,2,0,12.73,0.0,LOW
high,1.0,J3,3,0,13.61,0.0,LOW
high,1.0,J4,2,0,13.11,0.0,LOW
high,6.0,J1,5,0,12.83,0.0,LOW
high,6.0,J2,4,0,11.93,0.0,LOW
high,6.0,J3,3,0,12.6,0.0,LOW
high,6.0,J4,2,0,12.17,0.0,LOW
high,11.0,J1,8,2,9.23,0.0,MODERATE
high,11.0,J2,6,1,10.17,0.17,LOW
high,11.0,J3,4,1,9.93,0.25,LOW
high,11.0,J4,4,1,10.12,0.0,LOW
high,16.0,J1,9,3,7.88,1.0,MODERATE
high,16.0,J2,7,3,7.87,0.86,MODERATE
high,16.0,J3,8,2,8.97,0.75,MODERATE
high,16.0,J4,6,1,10.57,0.67,LOW
high,21.0,J1,10,5,5.65,2.7,MODERATE
high,21.0,J2,6,2,8.33,2.17,MODERATE
high,21.0,J3,8,2,8.39,2.0,MODERATE
high,21.0,J4,7,3,6.81,1.29,MODERATE
high,26.0,J1,12,7,5.23,4.17,HIGH
high,26.0,J2,8,3,8.29,2.88,MODERATE
high,26.0,J3,8,3,6.44,3.62,MODERATE
high,26.0,J4,6,2,8.28,3.17,MODERATE
high,31.0,J1,13,7,5.45,6.15,HIGH
high,31.0,J2,8,4,5.19,4.5,MODERATE
high,31.0,J3,10,4,6.45,4.8,MODERATE
high,31.0,J4,8,4,6.75,3.62,MODERATE
high,36.0,J1,13,8,4.06,9.0,HIGH
high,36.0,J2,10,5,6.05,5.6,MODERATE
high,36.0,J3,12,5,6.55,5.92,MODERATE
high,36.0,J4,7,3,7.07,6.14,MODERATE
high,41.0,J1,16,11,3.77,10.06,CRITICAL
high,41.0,J2,9,5,5.23,8.67,MODERATE
high,41.0,J3,12,6,5.55,8.25,HIGH
high,41.0,J4,10,5,6.61,5.8,MODERATE
high,46.0,J1,17,12,3.37,8.53,CRITICAL
high,46.0,J2,12,6,5.46,3.33,HIGH
high,46.0,J3,13,8,4.38,5.08,HIGH
high,46.0,J4,9,5,5.64,2.0,MODERATE
high,51.0,J1,19,8,4.63,0.32,HIGH
high,51.0,J2,14,4,6.41,0.43,MODERATE
high,51.0,J3,15,3,5.85,0.4,HIGH
high,51.0,J4,11,3,7.11,0.64,MODERATE
high,56.0,J1,23,4,7.45,0.87,HIGH
high,56.0,J2,16,6,6.83,1.62,HIGH
high,56.0,J3,15,5,8.1,1.47,HIGH
high,56.0,J4,14,4,8.41,1.93,MODERATE
high,61.0,J1,19,5,7.5,2.11,HIGH
high,61.0,J2,17,6,6.44,3.12,HIGH
high,61.0,J3,11,5,6.85,3.91,MODERATE
high,61.0,J4,13,5,7.36,3.85,MODERATE
high,66.0,J1,13,6,5.99,5.15,HIGH
high,66.0,J2,20,8,6.91,4.3,HIGH
high,66.0,J3,10,7,3.51,6.8,HIGH
high,66.0,J4,10,6,4.56,7.5,HIGH
high,71.0,J1,12,7,3.88,8.17,HIGH
high,71.0,J2,20,11,5.16,6.3,CRITICAL
high,71.0,J3,13,7,4.51,7.69,HIGH
high,71.0,J4,9,6,4.13,11.33,HIGH
high,76.0,J1,13,8,4.28,10.31,HIGH
high,76.0,J2,17,11,3.65,10.35,CRITICAL
high,76.0,J3,12,8,3.66,11.5,HIGH
high,76.0,J4,10,7,3.32,13.2,HIGH
high,81.0,J1,15,9,4.33,11.73,HIGH
high,81.0,J2,17,13,2.24,13.71,CRITICAL
high,81.0,J3,15,11,3.17,12.07,CRITICAL
high,81.0,J4,11,8,2.99,15.09,CRITICAL
high,86.0,J1,15,10,3.15,15.0,CRITICAL
high,86.0,J2,22,14,3.4,13.55,CRITICAL
high,86.0,J3,14,10,2.52,16.5,CRITICAL
high,86.0,J4,12,8,3.9,16.83,HIGH
high,91.0,J1,16,11,3.22,7.44,CRITICAL
high,91.0,J2,23,18,2.27,10.74,CRITICAL
high,91.0,J3,16,13,2.26,7.69,CRITICAL
high,91.0,J4,13,9,3.21,6.31,HIGH
high,96.0,J1,17,5,6.1,0.24,HIGH
high,96.0,J2,25,13,3.91,2.04,CRITICAL
high,96.0,J3,15,5,5.52,0.0,HIGH
high,96.0,J4,9,1,6.72,0.33,MODERATE
high,101.0,J1,21,5,8.45,0.71,HIGH
high,101.0,J2,27,9,6.17,0.67,CRITICAL
high,101.0,J3,17,3,9.51,0.47,HIGH
high,101.0,J4,11,3,8.72,1.45,MODERATE
high,106.0,J1,18,4,8.72,1.89,HIGH
high,106.0,J2,20,4,6.46,1.9,HIGH
high,106.0,J3,15,3,9.29,1.53,HIGH
high,106.0,J4,13,4,8.0,2.38,MODERATE
high,111.0,J1,13,6,5.3,4.31,HIGH
high,111.0,J2,16,6,6.11,3.81,HIGH
high,111.0,J3,13,4,8.24,3.08,MODERATE
high,111.0,J4,14,4,8.02,3.64,MODERATE
high,116.0,J1,12,8,3.03,7.67,HIGH
high,116.0,J2,12,6,5.87,7.33,HIGH
high,116.0,J3,11,5,6.05,5.55,MODERATE
high,116.0,J4,14,4,8.13,5.07,MODERATE
high,121.0,J1,15,10,3.31,9.07,CRITICAL
high,121.0,J2,12,7,4.59,9.83,HIGH
high,121.0,J3,12,6,5.22,7.25,HIGH
high,121.0,J4,15,5,8.06,6.2,HIGH
high,126.0,J1,16,11,3.45,11.56,CRITICAL
high,126.0,J2,14,8,5.16,10.79,HIGH
high,126.0,J3,14,7,5.43,8.5,HIGH
high,126.0,J4,12,6,5.24,9.83,HIGH
high,131.0,J1,18,12,3.53,13.39,CRITICAL
high,131.0,J2,13,8,4.92,14.46,HIGH
high,131.0,J3,13,9,3.86,12.0,HIGH
high,131.0,J4,11,6,5.36,13.27,HIGH
high,136.0,J1,18,13,2.64,10.22,CRITICAL
high,136.0,J2,14,10,3.19,5.07,CRITICAL
high,136.0,J3,16,12,3.55,5.19,CRITICAL
high,136.0,J4,12,8,4.08,2.08,HIGH
high,141.0,J1,18,11,3.79,0.44,CRITICAL
high,141.0,J2,16,3,6.51,0.56,HIGH
high,141.0,J3,17,4,6.14,0.47,HIGH
high,141.0,J4,11,3,6.76,0.27,MODERATE
high,146.0,J1,25,3,7.6,0.56,CRITICAL
high,146.0,J2,15,4,8.04,1.73,HIGH
high,146.0,J3,16,5,7.38,1.75,HIGH
high,146.0,J4,16,5,8.2,1.25,HIGH
high,151.0,J1,17,3,8.07,1.65,HIGH
high,151.0,J2,18,6,6.93,2.56,HIGH
high,151.0,J3,12,6,5.89,4.67,HIGH
high,151.0,J4,14,5,7.92,3.07,MODERATE
high,156.0,J1,13,5,6.5,3.46,MODERATE
high,156.0,J2,21,8,6.37,3.57,HIGH
high,156.0,J3,12,7,4.42,7.17,HIGH
high,156.0,J4,10,6,4.43,6.8,HIGH
high,161.0,J1,13,7,5.95,5.54,HIGH
high,161.0,J2,19,9,5.31,6.0,HIGH
high,161.0,J3,14,9,3.35,8.79,HIGH
high,161.0,J4,10,7,3.72,9.7,HIGH
high,166.0,J1,13,8,4.7,7.85,HIGH
high,166.0,J2,19,11,4.29,8.37,CRITICAL
high,166.0,J3,14,10,3.41,11.86,CRITICAL
high,166.0,J4,11,7,4.48,11.73,HIGH
high,171.0,J1,13,8,4.06,10.62,HIGH
high,171.0,J2,18,12,3.08,11.78,CRITICAL
high,171.0,J3,13,11,1.8,16.31,CRITICAL
high,171.0,J4,12,8,3.55,13.67,HIGH
high,176.0,J1,15,9,4.1,11.87,HIGH
high,176.0,J2,20,16,2.38,13.85,CRITICAL
high,176.0,J3,16,13,2.22,16.62,CRITICAL
high,176.0,J4,12,8,4.29,16.92,HIGH
high,181.0,J1,16,11,2.92,6.81,CRITICAL
high,181.0,J2,22,19,2.07,10.05,CRITICAL
high,181.0,J3,18,14,2.08,8.78,CRITICAL
high,181.0,J4,12,9,2.66,7.42,CRITICAL
high,186.0,J1,16,5,5.52,0.31,HIGH
high,186.0,J2,22,12,3.8,1.59,CRITICAL
high,186.0,J3,18,5,5.8,0.5,HIGH
high,186.0,J4,13,2,7.51,0.31,MODERATE
high,191.0,J1,19,4,8.8,1.11,HIGH
high,191.0,J2,24,7,6.51,0.96,HIGH
high,191.0,J3,20,4,8.6,1.1,HIGH
high,191.0,J4,12,2,9.43,1.17,MODERATE
high,196.0,J1,19,5,7.88,2.21,HIGH
high,196.0,J2,18,4,6.73,2.39,HIGH
high,196.0,J3,15,4,8.19,2.73,HIGH
high,196.0,J4,14,3,8.4,1.86,MODERATE
high,201.0,J1,18,8,6.11,3.83,HIGH
high,201.0,J2,16,6,7.57,4.06,HIGH
high,201.0,J3,14,5,6.69,4.5,MODERATE
high,201.0,J4,13,3,8.87,3.15,MODERATE
high,206.0,J1,15,9,4.39,6.87,HIGH
high,206.0,J2,11,6,5.63,8.36,HIGH
high,206.0,J3,12,6,5.45,7.5,HIGH
high,206.0,J4,16,4,8.24,3.62,HIGH
high,211.0,J1,15,10,3.23,10.0,CRITICAL
high,211.0,J2,13,7,5.26,9.38,HIGH
high,211.0,J3,12,7,4.12,10.0,HIGH
high,211.0,J4,11,4,7.09,7.09,MODERATE
high,216.0,J1,16,11,3.23,12.62,CRITICAL
high,216.0,J2,12,7,3.86,13.08,HIGH
high,216.0,J3,14,9,4.3,11.14,HIGH
high,216.0,J4,11,5,5.96,9.18,MODERATE
high,221.0,J1,18,14,2.54,14.39,CRITICAL
high,221.0,J2,14,9,4.28,13.93,HIGH
high,221.0,J3,15,9,4.52,13.27,HIGH
high,221.0,J4,9,5,5.56,14.0,MODERATE
high,226.0,J1,21,17,2.71,9.57,CRITICAL
high,226.0,J2,14,11,2.94,5.43,CRITICAL
high,226.0,J3,14,10,2.95,8.5,CRITICAL
high,226.0,J4,11,7,3.22,3.55,HIGH
high,231.0,J1,22,11,3.77,0.82,CRITICAL
high,231.0,J2,15,4,5.56,0.67,HIGH
high,231.0,J3,18,5,6.5,0.17,HIGH
high,231.0,J4,8,2,6.85,1.25,MODERATE
