scenario,timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
j3_surge,1.0,J1,2,0,13.9,0.0,LOW
j3_surge,1.0,J2,2,0,12.73,0.0,LOW
j3_surge,1.0,J3,3,0,13.61,0.0,LOW
j3_surge,1.0,J4,2,0,13.11,0.0,LOW
j3_surge,6.0,J1,4,0,12.46,0.0,LOW
j3_surge,6.0,J2,3,0,11.44,0.0,LOW
j3_surge,6.0,J3,4,0,12.89,0.0,LOW
j3_surge,6.0,J4,2,0,12.17,0.0,LOW
j3_surge,11.0,J1,7,1,9.37,0.0,MODERATE
j3_surge,11.0,J2,4,1,9.28,0.25,LOW
j3_surge,11.0,J3,5,1,8.4,0.2,MODERATE
j3_surge,11.0,J4,3,1,8.71,0.0,MODERATE
j3_surge,16.0,J1,10,3,8.16,0.9,MODERATE
j3_surge,16.0,J2,4,1,9.9,1.5,LOW
j3_surge,16.0,J3,7,2,9.13,1.14,MODERATE
j3_surge,16.0,J4,7,2,8.2,0.57,MODERATE
j3_surge,21.0,J1,9,3,7.39,2.22,MODERATE
j3_surge,21.0,J2,3,2,4.34,3.67,HIGH
j3_surge,21.0,J3,10,4,6.66,2.0,MODERATE
j3_surge,21.0,J4,7,2,8.33,1.57,MODERATE
j3_surge,26.0,J1,10,5,6.54,3.6,MODERATE
j3_surge,26.0,J2,5,2,6.57,3.8,MODERATE
j3_surge,26.0,J3,12,4,7.3,3.17,MODERATE
j3_surge,26.0,J4,7,2,7.74,3.0,MODERATE
j3_surge,31.0,J1,12,5,6.69,4.67,MODERATE
j3_surge,31.0,J2,4,2,5.17,7.25,MODERATE
j3_surge,31.0,J3,12,6,5.64,5.08,HIGH
j3_surge,31.0,J4,8,4,5.72,4.5,MODERATE
j3_surge,36.0,J1,12,6,6.27,6.58,HIGH
j3_surge,36.0,J2,6,3,5.98,7.0,MODERATE
j3_surge,36.0,J3,12,7,3.96,7.75,HIGH
j3_surge,36.0,J4,7,4,5.43,7.57,MODERATE
j3_surge,41.0,J1,12,7,5.05,9.08,HIGH
j3_surge,41.0,J2,5,3,3.63,11.4,HIGH
j3_surge,41.0,J3,16,9,4.94,8.19,HIGH
j3_surge,41.0,J4,9,5,5.14,8.11,MODERATE
j3_surge,46.0,J1,13,9,3.01,5.85,HIGH
j3_surge,46.0,J2,7,5,3.51,2.14,HIGH
j3_surge,46.0,J3,17,12,3.59,6.24,CRITICAL
j3_surge,46.0,J4,9,7,2.27,4.0,CRITICAL
j3_surge,51.0,J1,16,4,5.82,0.31,HIGH
j3_surge,51.0,J2,7,1,7.3,0.57,MODERATE
j3_surge,51.0,J3,18,7,4.53,0.39,HIGH
j3_surge,51.0,J4,11,2,8.14,0.64,MODERATE
j3_surge,56.0,J1,17,5,7.22,1.24,HIGH
j3_surge,56.0,J2,11,2,8.8,1.27,MODERATE
j3_surge,56.0,J3,20,5,8.19,1.6,HIGH
j3_surge,56.0,J4,12,2,9.76,1.42,MODERATE
j3_surge,61.0,J1,12,5,5.59,3.67,MODERATE
j3_surge,61.0,J2,13,3,7.7,2.08,MODERATE
j3_surge,61.0,J3,16,6,7.29,3.56,HIGH
j3_surge,61.0,J4,13,4,8.59,2.31,MODERATE
j3_surge,66.0,J1,12,8,3.12,6.0,HIGH
j3_surge,66.0,J2,12,4,6.44,3.75,MODERATE
j3_surge,66.0,J3,13,8,4.7,6.69,HIGH
j3_surge,66.0,J4,11,3,9.09,4.09,MODERATE
j3_surge,71.0,J1,13,9,3.27,8.54,HIGH
j3_surge,71.0,J2,10,6,3.76,6.9,HIGH
j3_surge,71.0,J3,14,9,3.92,9.21,HIGH
j3_surge,71.0,J4,7,3,5.96,8.57,MODERATE
j3_surge,76.0,J1,15,10,3.71,10.33,CRITICAL
j3_surge,76.0,J2,12,8,3.53,8.33,HIGH
j3_surge,76.0,J3,15,11,2.77,11.73,CRITICAL
j3_surge,76.0,J4,8,4,5.61,9.75,MODERATE
j3_surge,81.0,J1,17,13,2.8,12.18,CRITICAL
j3_surge,81.0,J2,12,8,2.95,11.58,CRITICAL
j3_surge,81.0,J3,18,12,3.73,12.78,CRITICAL
j3_surge,81.0,J4,8,4,6.56,12.25,MODERATE
j3_surge,86.0,J1,18,13,2.94,14.83,CRITICAL
j3_surge,86.0,J2,14,9,3.42,12.93,HIGH
j3_surge,86.0,J3,18,12,3.54,15.94,CRITICAL
j3_surge,86.0,J4,9,6,4.33,13.33,HIGH
j3_surge,91.0,J1,19,15,1.88,10.95,CRITICAL
j3_surge,91.0,J2,16,11,2.45,9.12,CRITICAL
j3_surge,91.0,J3,19,14,2.8,9.74,CRITICAL
j3_surge,91.0,J4,10,6,5.3,2.5,HIGH
j3_surge,96.0,J1,20,9,4.81,0.6,HIGH
j3_surge,96.0,J2,18,8,4.78,0.72,HIGH
j3_surge,96.0,J3,18,6,4.78,0.28,HIGH
j3_surge,96.0,J4,10,4,6.68,0.9,MODERATE
j3_surge,101.0,J1,22,4,8.07,0.32,HIGH
j3_surge,101.0,J2,17,4,7.14,1.94,HIGH
j3_surge,101.0,J3,22,4,8.45,0.55,HIGH
j3_surge,101.0,J4,13,4,8.43,2.0,MODERATE
j3_surge,106.0,J1,22,2,10.11,0.77,HIGH
j3_surge,106.0,J2,10,5,5.37,5.6,MODERATE
j3_surge,106.0,J3,19,6,8.57,1.47,HIGH
j3_surge,106.0,J4,13,5,6.91,3.69,MODERATE
j3_surge,111.0,J1,16,3,8.87,1.88,HIGH
j3_surge,111.0,J2,9,5,5.62,9.0,MODERATE
j3_surge,111.0,J3,17,6,8.09,3.12,HIGH
j3_surge,111.0,J4,14,5,6.93,5.21,MODERATE
j3_surge,116.0,J1,12,5,7.48,3.83,MODERATE
j3_surge,116.0,J2,9,7,2.93,11.89,CRITICAL
j3_surge,116.0,J3,15,7,5.85,5.53,HIGH
j3_surge,116.0,J4,10,6,5.0,10.1,HIGH
j3_surge,121.0,J1,11,6,5.69,6.0,HIGH
j3_surge,121.0,J2,11,6,5.54,12.45,HIGH
j3_surge,121.0,J3,17,10,4.95,7.12,CRITICAL
j3_surge,121.0,J4,11,7,4.32,12.09,HIGH
j3_surge,126.0,J1,10,6,4.83,9.1,HIGH
j3_surge,126.0,J2,11,8,3.55,15.18,HIGH
j3_surge,126.0,J3,17,10,4.53,9.65,CRITICAL
j3_surge,126.0,J4,11,7,3.37,15.27,HIGH
j3_surge,131.0,J1,14,7,5.92,8.64,HIGH
j3_surge,131.0,J2,11,7,4.6,18.27,HIGH
j3_surge,131.0,J3,17,11,3.57,12.53,CRITICAL
j3_surge,131.0,J4,13,9,3.52,15.92,HIGH
j3_surge,136.0,J1,15,9,3.65,5.33,HIGH
j3_surge,136.0,J2,12,9,3.01,6.0,HIGH
j3_surge,136.0,J3,18,13,3.26,8.5,CRITICAL
j3_surge,136.0,J4,14,10,3.62,6.43,CRITICAL
j3_surge,141.0,J1,16,5,5.51,0.88,HIGH
j3_surge,141.0,J2,12,3,6.84,0.58,MODERATE
j3_surge,141.0,J3,21,10,4.89,0.24,CRITICAL
j3_surge,141.0,J4,13,3,6.73,0.38,MODERATE
j3_surge,146.0,J1,17,8,6.9,2.24,HIGH
j3_surge,146.0,J2,15,3,9.82,1.27,HIGH
j3_surge,146.0,J3,22,4,8.66,0.95,HIGH
j3_surge,146.0,J4,15,4,9.15,1.47,HIGH
j3_surge,151.0,J1,15,8,5.44,4.47,HIGH
j3_surge,151.0,J2,12,5,7.15,2.83,MODERATE
j3_surge,151.0,J3,15,7,6.79,2.73,HIGH
j3_surge,151.0,J4,15,4,8.49,2.8,HIGH
j3_surge,156.0,J1,15,9,3.86,7.2,HIGH
j3_surge,156.0,J2,10,6,4.91,5.4,HIGH
j3_surge,156.0,J3,12,8,4.0,5.92,HIGH
j3_surge,156.0,J4,12,5,6.95,5.25,MODERATE
j3_surge,161.0,J1,15,10,2.96,10.4,CRITICAL
j3_surge,161.0,J2,11,6,4.63,7.18,HIGH
j3_surge,161.0,J3,16,10,4.97,6.62,CRITICAL
j3_surge,161.0,J4,9,5,4.95,9.78,HIGH
j3_surge,166.0,J1,16,12,2.58,13.19,CRITICAL
j3_surge,166.0,J2,12,8,4.36,9.08,HIGH
j3_surge,166.0,J3,15,9,4.48,9.67,HIGH
j3_surge,166.0,J4,9,5,5.21,12.56,MODERATE
j3_surge,171.0,J1,19,15,2.47,14.37,CRITICAL
j3_surge,171.0,J2,12,9,2.87,11.92,CRITICAL
j3_surge,171.0,J3,16,12,3.0,11.88,CRITICAL
j3_surge,171.0,J4,10,6,4.41,13.9,HIGH
j3_surge,176.0,J1,20,15,2.59,17.05,CRITICAL
j3_surge,176.0,J2,13,10,2.74,14.15,CRITICAL
j3_surge,176.0,J3,18,13,3.22,13.67,CRITICAL
j3_surge,176.0,J4,10,6,5.08,16.9,HIGH
j3_surge,181.0,J1,22,17,2.28,11.09,CRITICAL
j3_surge,181.0,J2,14,11,2.97,7.5,CRITICAL
j3_surge,181.0,J3,20,15,2.8,7.3,CRITICAL
j3_surge,181.0,J4,11,9,2.56,4.64,CRITICAL
j3_surge,186.0,J1,20,9,4.65,0.8,HIGH
j3_surge,186.0,J2,15,3,6.24,0.07,HIGH
j3_surge,186.0,J3,20,9,4.95,0.55,HIGH
j3_surge,186.0,J4,9,2,7.71,0.89,MODERATE
j3_surge,191.0,J1,22,4,8.06,0.77,HIGH
j3_surge,191.0,J2,12,2,8.81,0.83,MODERATE
j3_surge,191.0,J3,22,6,7.81,1.45,HIGH
j3_surge,191.0,J4,13,3,8.89,1.38,MODERATE
j3_surge,196.0,J1,21,3,9.36,1.52,HIGH
j3_surge,196.0,J2,6,2,8.62,3.33,MODERATE
j3_surge,196.0,J3,18,6,7.52,3.17,HIGH
j3_surge,196.0,J4,14,4,8.47,2.36,MODERATE
j3_surge,201.0,J1,15,4,8.26,3.27,HIGH
j3_surge,201.0,J2,6,3,5.56,5.33,MODERATE
j3_surge,201.0,J3,21,9,6.53,4.14,HIGH
j3_surge,201.0,J4,10,4,6.7,4.8,MODERATE
j3_surge,206.0,J1,11,6,6.02,6.55,HIGH
j3_surge,206.0,J2,6,3,5.59,7.83,MODERATE
j3_surge,206.0,J3,20,10,5.73,6.35,CRITICAL
j3_surge,206.0,J4,9,5,5.21,7.44,MODERATE
j3_surge,211.0,J1,13,7,5.89,7.62,HIGH
j3_surge,211.0,J2,6,4,3.47,11.0,HIGH
j3_surge,211.0,J3,16,10,4.01,10.88,CRITICAL
j3_surge,211.0,J4,10,6,5.13,9.2,HIGH
j3_surge,216.0,J1,12,7,5.21,10.75,HIGH
j3_surge,216.0,J2,7,4,4.74,12.29,HIGH
j3_surge,216.0,J3,17,12,3.53,13.24,CRITICAL
j3_surge,216.0,J4,9,6,4.39,13.33,HIGH
j3_surge,221.0,J1,15,9,4.97,10.87,HIGH
j3_surge,221.0,J2,7,5,2.71,15.71,CRITICAL
j3_surge,221.0,J3,19,14,3.39,14.84,CRITICAL
j3_surge,221.0,J4,11,7,4.01,13.82,HIGH
j3_surge,226.0,J1,15,9,3.37,5.33,HIGH
j3_surge,226.0,J2,8,6,3.97,3.5,HIGH
j3_surge,226.0,J3,21,17,2.92,10.29,CRITICAL
j3_surge,226.0,J4,11,8,2.11,5.82,CRITICAL
j3_surge,231.0,J1,15,3,6.96,0.4,HIGH
j3_surge,231.0,J2,10,2,7.62,0.3,MODERATE
j3_surge,231.0,J3,22,10,4.09,0.73,CRITICAL
j3_surge,231.0,J4,11,2,7.44,0.55,MODERATE
j3_surge,236.0,J1,16,5,7.6,1.5,HIGH
j3_surge,236.0,J2,13,2,10.23,0.85,MODERATE
j3_surge,236.0,J3,24,5,8.03,1.33,HIGH
j3_surge,236.0,J4,12,2,8.57,1.33,MODERATE
j3_surge,241.0,J1,12,6,5.45,4.08,HIGH
j3_surge,241.0,J2,12,3,8.03,1.83,MODERATE
j3_surge,241.0,J3,17,6,7.38,3.35,HIGH
j3_surge,241.0,J4,17,4,8.02,1.65,HIGH
j3_surge,246.0,J1,11,7,3.05,7.27,HIGH
j3_surge,246.0,J2,11,4,5.96,3.55,MODERATE
j3_surge,246.0,J3,13,8,4.32,6.92,HIGH
j3_surge,246.0,J4,15,3,8.69,2.87,HIGH
j3_surge,251.0,J1,13,8,3.9,8.92,HIGH
j3_surge,251.0,J2,11,6,4.77,5.73,HIGH
j3_surge,251.0,J3,15,9,4.06,8.6,HIGH
j3_surge,251.0,J4,11,4,7.05,5.27,MODERATE
j3_surge,256.0,J1,13,10,2.05,12.31,CRITICAL
j3_surge,256.0,J2,12,7,3.78,7.92,HIGH
j3_surge,256.0,J3,15,10,3.13,11.8,CRITICAL
j3_surge,256.0,J4,8,4,5.31,9.62,MODERATE
j3_surge,261.0,J1,17,13,2.79,12.53,CRITICAL
j3_surge,261.0,J2,12,8,3.27,11.17,HIGH
j3_surge,261.0,J3,18,12,3.64,12.83,CRITICAL
j3_surge,261.0,J4,8,4,5.91,12.12,MODERATE
j3_surge,266.0,J1,17,13,2.28,15.94,CRITICAL
j3_surge,266.0,J2,13,9,2.67,13.54,CRITICAL
j3_surge,266.0,J3,18,12,3.33,16.0,CRITICAL
j3_surge,266.0,J4,9,6,4.35,13.22,HIGH
j3_surge,271.0,J1,20,15,2.72,10.5,CRITICAL
j3_surge,271.0,J2,15,11,2.6,9.6,CRITICAL
j3_surge,271.0,J3,20,15,2.91,9.05,CRITICAL
j3_surge,271.0,J4,10,6,5.09,2.6,HIGH
j3_surge,276.0,J1,21,9,4.68,0.52,HIGH
