scenario,timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
normal,1.0,J1,2,0,13.9,0.0,LOW
normal,1.0,J2,2,0,12.73,0.0,LOW
normal,1.0,J3,3,0,13.61,0.0,LOW
normal,1.0,J4,2,0,13.11,0.0,LOW
normal,6.0,J1,3,0,12.41,0.0,LOW
normal,6.0,J2,3,0,11.44,0.0,LOW
normal,6.0,J3,3,0,12.6,0.0,LOW
normal,6.0,J4,2,0,12.17,0.0,LOW
normal,11.0,J1,6,1,9.25,0.0,LOW
normal,11.0,J2,4,1,9.31,0.25,LOW
normal,11.0,J3,3,1,6.38,0.33,MODERATE
normal,11.0,J4,2,1,7.02,0.0,MODERATE
normal,16.0,J1,8,3,7.32,1.12,MODERATE
normal,16.0,J2,4,1,9.36,1.5,LOW
normal,16.0,J3,4,1,9.52,1.5,LOW
normal,16.0,J4,6,1,10.82,0.67,LOW
normal,21.0,J1,7,3,6.3,2.86,MODERATE
normal,21.0,J2,4,2,6.24,2.75,MODERATE
normal,21.0,J3,5,2,7.02,2.4,MODERATE
normal,21.0,J4,5,1,9.92,1.8,LOW
normal,26.0,J1,8,5,4.62,4.38,HIGH
normal,26.0,J2,5,2,6.44,3.8,MODERATE
normal,26.0,J3,7,3,6.55,3.14,MODERATE
normal,26.0,J4,5,2,7.32,2.8,MODERATE
normal,31.0,J1,11,6,5.69,5.18,HIGH
normal,31.0,J2,4,2,4.98,7.25,HIGH
normal,31.0,J3,5,3,5.42,7.0,MODERATE
normal,31.0,J4,6,3,6.68,4.0,MODERATE
normal,36.0,J1,10,6,4.56,8.4,HIGH
normal,36.0,J2,6,3,6.36,7.0,MODERATE
normal,36.0,J3,7,4,4.55,7.29,HIGH
normal,36.0,J4,5,2,7.78,6.8,MODERATE
normal,41.0,J1,10,7,3.45,11.4,HIGH
normal,41.0,J2,5,3,3.9,11.4,HIGH
normal,41.0,J3,8,5,4.4,8.88,HIGH
normal,41.0,J4,6,3,6.56,7.33,MODERATE
normal,46.0,J1,12,9,2.62,6.75,CRITICAL
normal,46.0,J2,7,5,3.13,2.29,HIGH
normal,46.0,J3,9,6,4.67,3.56,HIGH
normal,46.0,J4,6,5,2.42,0.67,CRITICAL
normal,51.0,J1,15,4,5.76,0.53,HIGH
normal,51.0,J2,6,1,6.89,0.83,MODERATE
normal,51.0,J3,9,2,6.71,0.56,MODERATE
normal,51.0,J4,8,2,8.65,0.75,MODERATE
normal,56.0,J1,14,3,7.98,1.43,MODERATE
normal,56.0,J2,11,2,8.57,1.27,MODERATE
normal,56.0,J3,9,3,7.46,2.11,MODERATE
normal,56.0,J4,9,2,9.61,1.78,MODERATE
normal,61.0,J1,10,3,7.57,3.5,MODERATE
normal,61.0,J2,13,3,7.59,1.92,MODERATE
normal,61.0,J3,7,4,5.5,4.86,MODERATE
normal,61.0,J4,7,4,5.21,4.0,MODERATE
normal,66.0,J1,8,5,3.78,6.75,HIGH
normal,66.0,J2,13,4,7.42,3.23,MODERATE
normal,66.0,J3,7,4,4.52,7.29,HIGH
normal,66.0,J4,7,3,6.74,6.14,MODERATE
normal,71.0,J1,7,5,3.07,11.0,HIGH
normal,71.0,J2,10,7,3.56,6.5,HIGH
normal,71.0,J3,8,5,4.31,8.88,HIGH
normal,71.0,J4,5,3,3.39,11.6,HIGH
normal,76.0,J1,11,5,5.52,9.27,MODERATE
normal,76.0,J2,11,8,2.7,9.09,CRITICAL
normal,76.0,J3,9,6,3.14,10.44,HIGH
normal,76.0,J4,7,4,4.58,11.0,HIGH
normal,81.0,J1,10,7,3.09,13.1,HIGH
normal,81.0,J2,13,8,3.91,10.69,HIGH
normal,81.0,J3,10,7,4.03,12.4,HIGH
normal,81.0,J4,6,4,4.12,16.17,HIGH
normal,86.0,J1,11,7,4.51,14.91,HIGH
normal,86.0,J2,14,9,3.61,13.0,HIGH
normal,86.0,J3,11,7,3.82,14.09,HIGH
normal,86.0,J4,7,6,2.06,17.0,CRITICAL
normal,91.0,J1,12,9,3.0,6.17,HIGH
normal,91.0,J2,15,11,2.6,9.67,CRITICAL
normal,91.0,J3,10,8,2.79,6.6,CRITICAL
normal,91.0,J4,8,5,5.31,3.25,MODERATE
normal,96.0,J1,12,2,7.23,0.58,MODERATE
normal,96.0,J2,18,7,5.19,0.39,HIGH
normal,96.0,J3,10,0,7.5,0.0,MODERATE
normal,96.0,J4,6,0,8.11,0.0,MODERATE
normal,101.0,J1,13,3,9.35,1.31,MODERATE
normal,101.0,J2,16,3,7.94,1.38,HIGH
normal,101.0,J3,12,1,11.72,0.25,MODERATE
normal,101.0,J4,10,2,9.78,0.7,MODERATE
normal,106.0,J1,11,3,7.9,2.91,MODERATE
normal,106.0,J2,10,4,6.38,3.9,MODERATE
normal,106.0,J3,10,3,9.1,0.8,MODERATE
normal,106.0,J4,10,2,9.37,1.7,MODERATE
normal,111.0,J1,9,4,5.87,5.56,MODERATE
normal,111.0,J2,8,4,6.23,7.38,MODERATE
normal,111.0,J3,6,2,8.44,2.83,MODERATE
normal,111.0,J4,10,2,9.34,2.7,MODERATE
normal,116.0,J1,10,6,5.29,7.2,HIGH
normal,116.0,J2,8,6,3.48,9.88,HIGH
normal,116.0,J3,6,3,4.96,4.5,HIGH
normal,116.0,J4,6,3,6.15,6.33,MODERATE
normal,121.0,J1,9,7,2.85,10.78,CRITICAL
normal,121.0,J2,9,5,5.72,11.44,MODERATE
