timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
1.0,J1,2,0,13.9,0.0,LOW
1.0,J2,2,0,12.73,0.0,LOW
1.0,J3,3,0,13.61,0.0,LOW
1.0,J4,2,0,13.11,0.0,LOW
11.0,J1,5,0,8.87,0.0,MODERATE
11.0,J2,4,1,10.02,0.25,LOW
11.0,J3,5,1,8.76,0.2,MODERATE
11.0,J4,3,0,9.25,0.0,MODERATE
21.0,J1,9,3,7.89,2.22,MODERATE
21.0,J2,4,1,6.58,2.75,HIGH
21.0,J3,7,2,8.68,1.71,MODERATE
21.0,J4,3,1,8.85,3.0,MODERATE
31.0,J1,9,6,4.37,6.33,HIGH
31.0,J2,7,2,8.23,4.14,MODERATE
31.0,J3,7,3,7.04,5.0,MODERATE
31.0,J4,7,2,7.38,3.43,MODERATE
41.0,J1,12,6,4.86,9.5,HIGH
41.0,J2,8,3,7.37,7.12,MODERATE
41.0,J3,10,5,6.11,7.1,HIGH
41.0,J4,7,2,7.35,6.29,MODERATE
51.0,J1,11,2,4.63,0.91,HIGH
51.0,J2,9,2,7.32,0.78,MODERATE
51.0,J3,10,2,6.83,0.8,HIGH
51.0,J4,9,2,9.26,0.67,MODERATE
61.0,J1,17,3,8.97,2.18,MODERATE
61.0,J2,17,4,8.14,2.18,MODERATE
61.0,J3,12,5,7.2,3.92,MODERATE
61.0,J4,12,4,8.61,2.33,MODERATE
71.0,J1,10,5,5.83,7.9,HIGH
71.0,J2,18,6,6.2,4.83,HIGH
71.0,J3,9,5,3.83,10.44,HIGH
71.0,J4,6,3,4.75,9.67,HIGH
81.0,J1,13,7,5.46,10.23,HIGH
81.0,J2,14,9,3.56,12.21,HIGH
81.0,J3,11,8,3.49,14.27,HIGH
81.0,J4,6,4,4.05,16.17,HIGH
91.0,J1,10,4,5.17,7.4,HIGH
91.0,J2,15,8,3.13,9.67,HIGH
91.0,J3,9,4,5.39,7.33,HIGH
91.0,J4,6,2,8.12,4.33,MODERATE
101.0,J1,14,3,8.72,1.5,MODERATE
101.0,J2,19,4,8.02,1.68,MODERATE
101.0,J3,20,2,11.4,0.3,LOW
101.0,J4,12,2,10.13,0.58,LOW
111.0,J1,15,5,7.47,4.27,MODERATE
111.0,J2,14,5,7.77,5.64,MODERATE
111.0,J3,13,3,9.72,2.31,MODERATE
111.0,J4,15,2,10.39,1.8,LOW
121.0,J1,13,7,4.92,9.31,HIGH
121.0,J2,11,6,5.81,12.09,HIGH
121.0,J3,11,5,7.01,5.91,MODERATE
121.0,J4,11,3,8.64,4.82,MODERATE
131.0,J1,13,8,3.72,15.0,CRITICAL
131.0,J2,13,7,6.04,15.31,HIGH
131.0,J3,11,5,5.47,10.09,HIGH
131.0,J4,9,5,5.75,9.33,HIGH
141.0,J1,12,2,7.17,0.17,MODERATE
141.0,J2,15,3,7.33,0.73,MODERATE
141.0,J3,11,2,7.83,0.45,MODERATE
141.0,J4,10,2,6.13,0.8,HIGH
151.0,J1,14,3,9.8,1.86,MODERATE
151.0,J2,21,8,7.69,3.29,HIGH
151.0,J3,12,5,6.75,3.5,HIGH
151.0,J4,12,5,7.29,4.75,MODERATE
161.0,J1,9,4,5.63,6.44,HIGH
161.0,J2,17,8,5.27,8.29,HIGH
161.0,J3,10,6,4.35,9.6,HIGH
161.0,J4,10,6,4.58,11.5,HIGH
171.0,J1,9,5,3.97,11.67,HIGH
171.0,J2,17,10,3.84,13.76,CRITICAL
171.0,J3,12,7,3.94,13.33,HIGH
171.0,J4,11,7,3.61,16.0,CRITICAL
181.0,J1,9,5,5.67,5.78,HIGH
181.0,J2,14,9,3.65,10.21,HIGH
181.0,J3,9,5,5.09,5.67,HIGH
181.0,J4,7,3,4.47,7.29,HIGH
191.0,J1,10,2,8.43,1.3,MODERATE
191.0,J2,17,3,9.81,1.12,MODERATE
191.0,J3,15,2,10.77,0.73,LOW
191.0,J4,14,2,10.44,1.0,LOW
201.0,J1,12,4,7.62,3.83,MODERATE
201.0,J2,13,4,8.17,4.15,MODERATE
201.0,J3,14,3,9.4,2.71,MODERATE
201.0,J4,17,3,9.69,2.18,MODERATE
211.0,J1,11,7,4.13,8.45,HIGH
211.0,J2,10,5,6.11,9.6,HIGH
211.0,J3,10,4,5.63,7.4,HIGH
211.0,J4,10,3,8.5,6.7,MODERATE
221.0,J1,13,7,3.94,12.31,HIGH
221.0,J2,10,6,4.22,15.0,HIGH
221.0,J3,11,6,5.24,11.36,HIGH
221.0,J4,9,4,6.49,11.56,HIGH
231.0,J1,12,2,5.47,0.67,HIGH
231.0,J2,11,3,6.9,1.09,HIGH
231.0,J3,11,2,7.21,0.45,MODERATE
231.0,J4,9,3,8.35,1.56,MODERATE
241.0,J1,17,3,9.69,1.88,MODERATE
241.0,J2,18,5,8.4,2.83,MODERATE
241.0,J3,13,4,7.64,2.77,MODERATE
241.0,J4,11,5,6.7,4.27,HIGH
251.0,J1,10,5,6.06,7.1,HIGH
251.0,J2,18,7,6.55,6.17,HIGH
251.0,J3,10,5,4.78,7.8,HIGH
251.0,J4,8,4,5.31,10.88,HIGH
261.0,J1,10,6,3.91,12.4,HIGH
261.0,J2,16,10,3.95,12.62,CRITICAL
261.0,J3,11,8,2.8,12.64,HIGH
261.0,J4,9,5,5.72,15.0,HIGH
271.0,J1,11,5,4.98,6.36,HIGH
271.0,J2,14,8,3.43,10.07,HIGH
271.0,J3,10,5,3.71,8.6,HIGH
271.0,J4,6,2,7.9,4.17,MODERATE
281.0,J1,12,4,7.47,1.75,MODERATE
281.0,J2,19,4,8.01,1.11,MODERATE
281.0,J3,21,4,8.9,0.71,MODERATE
281.0,J4,15,2,10.87,0.6,LOW
291.0,J1,15,5,7.02,4.2,MODERATE
291.0,J2,14,4,7.14,4.36,MODERATE
291.0,J3,14,4,7.98,3.79,MODERATE
291.0,J4,15,3,9.35,2.33,MODERATE
1.0,J1,2,0,13.9,0.0,LOW
1.0,J2,2,0,12.73,0.0,LOW
1.0,J3,3,0,13.61,0.0,LOW
1.0,J4,2,0,13.11,0.0,LOW
11.0,J1,5,0,8.87,0.0,MODERATE
11.0,J2,4,1,10.02,0.25,LOW
11.0,J3,5,1,8.76,0.2,MODERATE
11.0,J4,3,0,9.25,0.0,MODERATE
21.0,J1,9,3,7.89,2.22,MODERATE
21.0,J2,4,1,6.58,2.75,HIGH
21.0,J3,7,2,8.68,1.71,MODERATE
21.0,J4,3,1,8.85,3.0,MODERATE
31.0,J1,9,6,4.37,6.33,HIGH
31.0,J2,7,2,8.23,4.14,MODERATE
