timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
1.0,J1,2,0,13.9,0.0,LOW
1.0,J2,2,0,12.73,0.0,LOW
1.0,J3,3,0,13.61,0.0,LOW
1.0,J4,2,0,13.11,0.0,LOW
6.0,J1,3,0,12.41,0.0,LOW
6.0,J2,3,0,11.44,0.0,LOW
6.0,J3,3,0,12.6,0.0,LOW
6.0,J4,2,0,12.17,0.0,LOW
11.0,J1,5,0,8.87,0.0,MODERATE
11.0,J2,4,1,10.02,0.25,LOW
11.0,J3,5,1,8.76,0.2,MODERATE
11.0,J4,3,0,9.25,0.0,MODERATE
16.0,J1,5,3,3.79,1.8,HIGH
16.0,J2,5,1,9.69,1.2,MODERATE
16.0,J3,3,1,8.26,2.0,MODERATE
16.0,J4,5,1,10.22,0.8,LOW
21.0,J1,9,3,7.89,2.22,MODERATE
21.0,J2,4,1,6.58,2.75,HIGH
21.0,J3,7,2,8.68,1.71,MODERATE
21.0,J4,3,1,8.85,3.0,MODERATE
26.0,J1,8,3,4.79,4.38,HIGH
26.0,J2,7,2,7.94,2.71,MODERATE
26.0,J3,9,2,7.92,2.44,MODERATE
26.0,J4,8,1,9.18,1.75,MODERATE
31.0,J1,9,6,4.37,6.33,HIGH
31.0,J2,7,2,8.23,4.14,MODERATE
31.0,J3,7,3,7.04,5.0,MODERATE
31.0,J4,7,2,7.38,3.43,MODERATE
36.0,J1,10,6,4.78,8.4,HIGH
36.0,J2,9,3,8.43,4.67,MODERATE
36.0,J3,10,4,6.8,5.1,HIGH
36.0,J4,8,2,9.76,4.25,MODERATE
41.0,J1,12,6,4.86,9.5,HIGH
41.0,J2,8,3,7.37,7.12,MODERATE
41.0,J3,10,5,6.11,7.1,HIGH
41.0,J4,7,2,7.35,6.29,MODERATE
46.0,J1,13,5,3.55,6.23,HIGH
46.0,J2,7,2,5.45,2.29,HIGH
46.0,J3,9,3,6.43,3.56,HIGH
46.0,J4,5,1,4.74,0.8,HIGH
51.0,J1,11,2,4.63,0.91,HIGH
51.0,J2,9,2,7.32,0.78,MODERATE
51.0,J3,10,2,6.83,0.8,HIGH
51.0,J4,9,2,9.26,0.67,MODERATE
56.0,J1,12,3,7.07,1.83,MODERATE
56.0,J2,15,3,8.51,1.4,MODERATE
56.0,J3,13,4,8.1,2.08,MODERATE
56.0,J4,10,2,9.77,1.6,MODERATE
61.0,J1,17,3,8.97,2.18,MODERATE
61.0,J2,17,4,8.14,2.18,MODERATE
61.0,J3,12,5,7.2,3.92,MODERATE
61.0,J4,12,4,8.61,2.33,MODERATE
66.0,J1,14,5,6.92,4.0,HIGH
66.0,J2,18,5,8.0,3.28,MODERATE
66.0,J3,13,5,7.15,5.31,MODERATE
66.0,J4,10,3,8.38,4.3,MODERATE
71.0,J1,10,5,5.83,7.9,HIGH
71.0,J2,18,6,6.2,4.83,HIGH
71.0,J3,9,5,3.83,10.44,HIGH
71.0,J4,6,3,4.75,9.67,HIGH
76.0,J1,10,5,4.81,10.4,HIGH
76.0,J2,16,8,5.01,7.94,HIGH
76.0,J3,10,6,2.93,12.2,HIGH
76.0,J4,8,4,5.66,9.62,HIGH
81.0,J1,13,7,5.46,10.23,HIGH
81.0,J2,14,9,3.56,12.21,HIGH
81.0,J3,11,8,3.49,14.27,HIGH
81.0,J4,6,4,4.05,16.17,HIGH
86.0,J1,12,7,4.83,13.83,HIGH
86.0,J2,17,10,4.54,12.88,HIGH
86.0,J3,13,8,4.2,14.85,HIGH
86.0,J4,9,5,4.51,13.22,HIGH
91.0,J1,10,4,5.17,7.4,HIGH
91.0,J2,15,8,3.13,9.67,HIGH
91.0,J3,9,4,5.39,7.33,HIGH
91.0,J4,6,2,8.12,4.33,MODERATE
96.0,J1,11,3,6.7,0.55,HIGH
96.0,J2,18,4,5.07,0.67,HIGH
96.0,J3,10,0,8.39,0.0,MODERATE
96.0,J4,8,0,9.71,0.0,MODERATE
101.0,J1,14,3,8.72,1.5,MODERATE
101.0,J2,19,4,8.02,1.68,MODERATE
101.0,J3,20,2,11.4,0.3,LOW
101.0,J4,12,2,10.13,0.58,LOW
106.0,J1,14,4,8.0,2.93,MODERATE
106.0,J2,19,5,8.77,2.84,MODERATE
106.0,J3,16,2,9.62,1.0,MODERATE
106.0,J4,15,2,10.35,1.13,LOW
111.0,J1,15,5,7.47,4.27,MODERATE
111.0,J2,14,5,7.77,5.64,MODERATE
111.0,J3,13,3,9.72,2.31,MODERATE
111.0,J4,15,2,10.39,1.8,LOW
116.0,J1,11,6,4.54,8.27,HIGH
116.0,J2,11,5,4.89,9.45,HIGH
116.0,J3,9,3,6.07,5.0,HIGH
116.0,J4,11,3,9.01,3.45,MODERATE
121.0,J1,13,7,4.92,9.31,HIGH
121.0,J2,11,6,5.81,12.09,HIGH
121.0,J3,11,5,7.01,5.91,MODERATE
121.0,J4,11,3,8.64,4.82,MODERATE
126.0,J1,12,7,4.23,13.0,HIGH
126.0,J2,13,7,5.09,12.62,HIGH
126.0,J3,12,5,7.35,7.17,MODERATE
126.0,J4,7,3,7.13,9.71,MODERATE
131.0,J1,13,8,3.72,15.0,CRITICAL
131.0,J2,13,7,6.04,15.31,HIGH
131.0,J3,11,5,5.47,10.09,HIGH
131.0,J4,9,5,5.75,9.33,HIGH
136.0,J1,11,5,4.57,7.09,HIGH
136.0,J2,11,2,4.97,2.73,HIGH
136.0,J3,9,3,7.17,3.89,MODERATE
136.0,J4,8,1,8.21,0.75,MODERATE
141.0,J1,12,2,7.17,0.17,MODERATE
141.0,J2,15,3,7.33,0.73,MODERATE
141.0,J3,11,2,7.83,0.45,MODERATE
141.0,J4,10,2,6.13,0.8,HIGH
146.0,J1,13,2,9.05,0.92,MODERATE
146.0,J2,21,7,8.18,1.76,HIGH
146.0,J3,13,5,7.88,1.62,MODERATE
146.0,J4,14,5,8.39,2.29,MODERATE
151.0,J1,14,3,9.8,1.86,MODERATE
151.0,J2,21,8,7.69,3.29,HIGH
151.0,J3,12,5,6.75,3.5,HIGH
151.0,J4,12,5,7.29,4.75,MODERATE
156.0,J1,11,3,7.48,3.73,MODERATE
156.0,J2,17,7,6.42,6.12,HIGH
156.0,J3,12,6,5.39,5.58,HIGH
156.0,J4,11,6,5.91,7.73,HIGH
161.0,J1,9,4,5.63,6.44,HIGH
161.0,J2,17,8,5.27,8.29,HIGH
161.0,J3,10,6,4.35,9.6,HIGH
161.0,J4,10,6,4.58,11.5,HIGH
166.0,J1,9,5,5.66,8.89,HIGH
166.0,J2,18,10,4.51,10.28,HIGH
